health_score,failure_probability,rul_days,repair_cost,failure_cost,potential_savings,priority
55,73,20,14310,112972,98662,High
52,52,1,21177,86786,65609,Immediate
18,61,78,8703,81818,73115,Immediate
25,26,29,15672,62595,46923,Immediate
91,56,3,5611,37686,32075,Immediate
33,95,93,12304,81926,69622,Immediate
71,18,118,13350,35871,22521,Low
21,92,33,8247,105523,97276,Immediate
34,66,83,4417,39647,35230,High
10,89,24,10391,107443,97052,Immediate
72,56,113,8239,69125,60886,Medium
0,59,12,5196,49870,44674,Immediate
57,43,78,17497,29313,11816,Medium
3,63,116,13713,111408,97695,Immediate
9,65,35,14730,88095,73365,Immediate
18,58,53,7359,30168,22809,Immediate
66,37,29,10254,22347,12093,Medium
82,27,26,19558,47276,27718,Medium
65,66,7,15342,37581,22239,High
30,73,19,14419,39422,25003,High
18,100,87,13259,28933,15674,Immediate
10,47,15,3949,101294,97345,Immediate
27,82,4,14221,87571,73350,Immediate
100,38,34,5400,59731,54331,Medium
41,39,97,22339,98893,76554,High
27,73,86,6536,64753,58217,Immediate
66,70,108,20363,59773,39410,High
80,91,105,8897,34854,25957,Immediate
56,96,86,3107,14733,11626,Immediate
63,78,86,9877,53519,43642,High
39,100,98,13603,58478,44875,Immediate
97,47,117,24353,49603,25250,Medium
71,32,44,3508,85151,81643,Low
36,88,36,16136,105839,89703,Immediate
20,1,31,7971,68883,60912,Immediate
29,75,44,18883,62469,43586,Immediate
48,23,24,6065,84860,78795,High
10,12,91,7295,44504,37209,Immediate
71,63,20,15103,34135,19032,High
70,77,28,24633,88400,63767,High
12,84,111,20186,118551,98365,Immediate
14,1,61,9975,22527,12552,Immediate
51,35,67,15612,54862,39250,Medium
46,82,2,15260,40555,25295,Immediate
80,77,28,15762,39531,23769,High
66,35,102,5456,41013,35557,Medium
47,38,47,7317,68025,60708,High
29,91,31,16176,105258,89082,Immediate
21,20,1,21004,83108,62104,Immediate
16,46,85,9630,35331,25701,Immediate
11,63,119,22252,74496,52244,Immediate
72,45,104,18275,101425,83150,Medium
93,51,116,3537,62229,58692,Medium
28,18,47,4415,16067,11652,Immediate
34,94,53,6810,33379,26569,Immediate
4,15,17,3761,91808,88047,Immediate
51,19,112,19065,112521,93456,Medium
57,92,93,22154,52383,30229,Immediate
49,71,88,10187,79592,69405,High
4,40,40,8153,90724,82571,Immediate
79,44,71,24071,100189,76118,Medium
26,77,78,18531,110739,92208,Immediate
32,43,20,6060,29791,23731,High
6,31,112,17274,76390,59116,Immediate
23,85,70,4903,29454,24551,Immediate
86,53,38,5377,48992,43615,Medium
74,31,45,20623,105683,85060,Low
50,75,56,15314,27679,12365,High
17,63,119,19756,31705,11949,Immediate
48,40,116,14619,88584,73965,High
24,65,100,12617,97885,85268,Immediate
18,41,18,7349,31805,24456,Immediate
31,20,10,8156,42396,34240,High
85,12,55,14920,32352,17432,Low
87,43,78,9189,53099,43910,Medium
36,18,63,17253,114013,96760,High
93,70,26,7839,80348,72509,High
45,74,14,17932,52510,34578,High
27,28,87,13129,86523,73394,Immediate
76,75,47,4137,84339,80202,High
74,58,111,5654,49412,43758,Medium
12,77,113,23841,64393,40552,Immediate
32,96,62,19206,64037,44831,Immediate
43,57,102,22051,57867,35816,High
14,3,56,14741,33539,18798,Immediate
55,31,108,17566,48748,31182,Medium
71,77,33,21452,95527,74075,High
56,1,13,14901,43071,28170,High
3,83,50,11269,33074,21805,Immediate
28,7,12,11744,67797,56053,Immediate
25,49,2,13679,34664,20985,Immediate
94,80,89,4596,96995,92399,High
11,12,19,13155,31074,17919,Immediate
88,94,59,17628,62468,44840,Immediate
15,37,43,11176,54705,43529,Immediate
86,13,6,10128,105910,95782,Immediate
59,11,13,23323,39344,16021,High
62,37,50,24757,85112,60355,Medium
39,7,61,11711,84790,73079,High
96,33,108,23942,123729,99787,Low
56,98,46,6093,41011,34918,Immediate
39,44,55,12394,35674,23280,High
79,61,93,13582,84277,70695,High
97,6,38,5340,53397,48057,Medium
85,4,64,18025,35170,17145,Low
86,14,95,12834,98859,86025,Low
52,24,89,13364,91060,77696,Medium
84,8,119,23133,68823,45690,Low
86,48,68,6804,70834,64030,Medium
64,53,30,6932,46135,39203,Medium
32,99,86,12292,32154,19862,Immediate
7,27,45,24354,106234,81880,Immediate
88,79,74,19158,57573,38415,High
11,94,78,6679,56987,50308,Immediate
16,34,1,6996,70934,63938,Immediate
63,3,87,17235,89458,72223,Medium
62,75,53,17164,33928,16764,High
16,39,13,19292,30906,11614,Immediate
75,60,113,23037,82685,59648,Medium
19,72,59,8733,75940,67207,Immediate
77,16,57,7364,35225,27861,Low
58,5,97,21781,62907,41126,Medium
9,50,19,10730,38613,27883,Immediate
86,67,84,3978,80244,76266,High
56,97,68,4701,71082,66381,Immediate
6,70,50,3947,34452,30505,Immediate
25,18,9,14580,95767,81187,Immediate
49,79,118,20488,31396,10908,High
11,9,65,5311,96867,91556,Immediate
21,17,66,19555,74875,55320,Immediate
66,53,26,4885,72704,67819,Medium
99,25,34,13503,90200,76697,Medium
47,54,107,24045,59082,35037,High
39,14,81,22188,89371,67183,High
22,61,46,7694,75844,68150,Immediate
14,52,88,20087,79173,59086,Immediate
91,79,16,18719,57877,39158,High
69,65,118,4164,47551,43387,High
46,8,63,5337,20931,15594,High
28,36,43,6442,32633,26191,Immediate
23,70,34,20675,73833,53158,Immediate
78,96,13,16142,88963,72821,Immediate
95,44,114,10394,85208,74814,Medium
57,4,77,23597,34040,10443,Medium
95,20,24,24119,110018,85899,Medium
17,20,54,6465,84712,78247,Immediate
84,88,116,21107,120251,99144,Immediate
22,21,68,16473,112608,96135,Immediate
69,27,95,17434,73680,56246,Medium
41,22,70,4999,29848,24849,High
23,16,109,23032,38477,15445,Immediate
68,59,119,8212,21551,13339,Medium
46,66,112,5368,93090,87722,High
47,87,62,7395,32685,25290,Immediate
7,54,108,10470,24311,13841,Immediate
93,93,113,9060,46644,37584,Immediate
37,76,11,8487,54769,46282,High
89,54,20,14280,53084,38804,Medium
59,22,46,13547,112260,98713,Medium
45,27,97,8273,69143,60870,High
47,28,27,8479,33898,25419,High
73,68,74,5417,65101,59684,High
23,2,104,4469,73065,68596,Immediate
1,65,103,24033,106500,82467,Immediate
96,67,45,19363,57853,38490,High
41,46,5,13456,45776,32320,Immediate
36,33,73,18813,49567,30754,High
77,39,17,19476,116557,97081,High
80,71,65,11556,75624,64068,High
99,6,110,4924,99939,95015,Low
27,61,107,21660,77759,56099,Immediate
2,36,90,20294,30600,10306,Immediate
47,7,13,15207,64633,49426,High
64,72,31,20256,80073,59817,High
80,55,34,15936,55949,40013,Medium
12,68,41,13060,101652,88592,Immediate
88,46,4,16027,30057,14030,Immediate
51,9,28,4400,76087,71687,Medium
11,61,52,22631,116409,93778,Immediate
45,96,74,21782,81076,59294,Immediate
70,35,14,19375,114990,95615,High
77,2,113,21932,76585,54653,Low
66,85,19,18074,74613,56539,High
53,68,10,17732,88019,70287,High
98,50,32,20866,73473,52607,Medium
23,34,83,21599,89370,67771,Immediate
61,98,68,13956,110795,96839,Immediate
35,53,107,5827,83421,77594,High
69,11,91,4832,56200,51368,Medium
2,2,84,9299,92665,83366,Immediate
47,66,42,9615,91913,82298,High
39,5,20,24343,50082,25739,High
26,20,108,17063,60712,43649,Immediate
12,85,35,9702,94667,84965,Immediate
27,20,110,3158,51155,47997,Immediate
36,20,14,15566,28092,12526,High
28,46,30,20522,103315,82793,Immediate
83,37,83,14802,98234,83432,Medium
86,92,15,16242,77700,61458,Immediate
9,78,80,24392,88791,64399,Immediate
82,10,48,3324,102731,99407,Low
13,49,26,17404,97426,80022,Immediate
15,54,78,16156,26723,10567,Immediate
3,99,48,22703,51407,28704,Immediate
35,69,80,6420,76295,69875,High
37,100,112,10485,85044,74559,Immediate
9,35,29,24507,81654,57147,Immediate
55,41,100,23593,89285,65692,Medium
45,81,33,14540,75179,60639,High
78,56,69,19709,62780,43071,Medium
75,99,33,10715,78207,67492,Immediate
26,90,72,16412,83851,67439,Immediate
25,65,12,3528,43842,40314,Immediate
67,36,38,16919,74417,57498,Medium
0,24,42,18539,102959,84420,Immediate
55,62,81,8127,40073,31946,High
44,26,52,6925,25388,18463,High
65,4,82,4242,55794,51552,Medium
79,69,115,9406,33371,23965,High
37,78,111,20824,67218,46394,High
90,28,57,24380,107947,83567,Low
59,69,2,9765,71391,61626,Immediate
3,55,93,12352,45010,32658,Immediate
89,47,43,16786,77090,60304,Medium
56,52,118,3143,53129,49986,Medium
74,89,104,11062,49276,38214,Immediate
0,89,28,12780,33461,20681,Immediate
72,59,59,7971,72904,64933,Medium
7,48,42,12114,61960,49846,Immediate
82,24,38,8783,94070,85287,Medium
59,82,50,22310,82551,60241,High
13,52,32,9249,48016,38767,Immediate
91,47,39,7263,84701,77438,Medium
76,75,8,13190,86959,73769,High
11,42,51,8229,85775,77546,Immediate
81,99,63,3048,50026,46978,Immediate
26,8,119,19038,102452,83414,Immediate
89,70,116,10879,75486,64607,High
66,9,114,16254,66402,50148,Medium
52,100,95,12814,31702,18888,Immediate
90,85,103,3637,38111,34474,High
53,3,88,11367,87625,76258,Medium
41,2,91,7866,93541,85675,High
62,80,31,23617,68902,45285,High
93,20,100,21262,89859,68597,Low
75,88,54,6952,73832,66880,Immediate
6,28,48,12692,45488,32796,Immediate
2,1,16,19989,55946,35957,Immediate
5,44,71,17278,42095,24817,Immediate
31,48,13,23504,42011,18507,High
58,84,28,4849,28436,23587,High
33,4,82,15731,32571,16840,High
74,53,81,5415,17804,12389,Medium
36,83,48,3763,103224,99461,High
53,47,112,20261,70202,49941,Medium
33,62,78,24423,110477,86054,High
83,12,47,15447,73304,57857,Low
52,13,52,15067,109810,94743,Medium
39,85,22,16402,88985,72583,High
59,59,10,14284,61878,47594,High
80,32,31,3497,74658,71161,Medium
89,20,36,8056,50955,42899,Medium
67,89,4,11712,95469,83757,Immediate
44,3,69,7604,59824,52220,High
22,15,22,16284,93427,77143,Immediate
47,61,97,6574,62883,56309,High
79,4,80,9406,31232,21826,Low
64,8,82,7473,40963,33490,Medium
23,91,10,11520,104626,93106,Immediate
53,86,111,6536,83845,77309,Immediate
70,15,53,24799,70125,45326,Low
19,87,111,24804,81913,57109,Immediate
91,68,49,11998,101231,89233,High
38,20,40,10140,83366,73226,High
81,53,112,23491,102307,78816,Medium
36,37,15,18936,45933,26997,High
66,100,44,19042,50288,31246,Immediate
81,80,81,14859,82724,67865,High
28,47,98,9608,62093,52485,Immediate
61,12,44,24038,48363,24325,Medium
52,89,92,20996,99807,78811,Immediate
43,27,2,3824,27704,23880,Immediate
33,86,58,14517,46200,31683,Immediate
28,34,75,14183,110785,96602,Immediate
72,77,9,17639,97849,80210,High
92,82,36,12695,71277,58582,High
91,43,82,11379,22593,11214,Medium
4,86,119,13713,39690,25977,Immediate
75,39,19,6136,41674,35538,High
90,17,50,10965,96098,85133,Low
65,4,93,9569,70212,60643,Medium
93,4,50,7409,83535,76126,Low
83,7,113,21590,59505,37915,Low
20,93,62,20131,76684,56553,Immediate
32,25,90,4379,83685,79306,High
14,0,11,22510,87551,65041,Immediate
64,94,44,4295,95692,91397,Immediate
21,17,47,6280,62645,56365,Immediate
9,98,58,4620,50923,46303,Immediate
5,66,41,19554,54078,34524,Immediate
17,57,118,23506,87767,64261,Immediate
67,21,24,18911,83291,64380,Medium
73,65,40,8487,48007,39520,High
86,29,21,5423,28329,22906,Medium
12,75,9,9339,46769,37430,Immediate
23,33,103,22516,88748,66232,Immediate
4,78,50,10730,52013,41283,Immediate
38,7,113,9487,82707,73220,High
27,26,65,11097,99769,88672,Immediate
100,61,62,21201,101624,80423,High
38,20,94,4454,31976,27522,High
47,12,101,18775,39177,20402,High
18,13,48,22413,59415,37002,Immediate
67,44,104,19447,77675,58228,Medium
65,78,66,12814,80615,67801,High
66,68,3,4740,44861,40121,Immediate
82,39,50,4954,64385,59431,Medium
87,16,40,3961,102708,98747,Low
22,5,66,9007,39521,30514,Immediate
28,6,93,9196,35488,26292,Immediate
22,96,8,13315,53698,40383,Immediate
9,78,117,18534,33375,14841,Immediate
52,38,67,16384,43827,27443,Medium
2,87,86,23976,56709,32733,Immediate
41,44,44,18450,60660,42210,High
82,69,109,3594,68198,64604,High
25,85,21,20783,33984,13201,Immediate
46,29,27,8190,97441,89251,High
49,94,23,19720,96923,77203,Immediate
13,19,13,8122,79523,71401,Immediate
81,95,78,23654,94968,71314,Immediate
0,89,24,21672,32890,11218,Immediate
12,46,50,13964,54069,40105,Immediate
2,50,40,10619,32558,21939,Immediate
50,0,104,19878,36438,16560,Medium
6,51,11,23378,65118,41740,Immediate
13,85,80,3045,77376,74331,Immediate
9,23,61,21413,69898,48485,Immediate
8,16,102,11831,106414,94583,Immediate
57,12,50,16156,47665,31509,Medium
84,50,36,17662,93592,75930,Medium
43,13,109,13524,50197,36673,High
4,71,110,21171,106522,85351,Immediate
56,25,6,10311,107410,97099,Immediate
99,11,75,5050,73992,68942,Low
63,61,101,6973,43871,36898,High
17,79,87,23138,96086,72948,Immediate
72,2,72,16861,103984,87123,Low
75,43,95,19600,57492,37892,Medium
79,62,42,7927,46780,38853,High
77,76,105,10366,90329,79963,High
36,3,2,24730,55843,31113,Immediate
43,66,68,13085,108280,95195,High
82,73,62,21688,59864,38176,High
15,8,53,12416,62410,49994,Immediate
8,11,119,21830,117655,95825,Immediate
74,10,8,21565,52960,31395,High
38,98,72,20905,49961,29056,Immediate
33,56,117,5679,70097,64418,High
70,30,82,10463,70741,60278,Low
99,80,37,9571,63494,53923,High
91,49,20,18779,99807,81028,Medium
26,71,32,12984,95312,82328,Immediate
83,44,96,10711,106259,95548,Medium
8,29,84,9459,23555,14096,Immediate
4,62,99,14584,30549,15965,Immediate
72,93,24,7721,50684,42963,Immediate
24,73,99,24494,110916,86422,Immediate
12,67,114,4080,46755,42675,Immediate
13,81,72,17047,110529,93482,Immediate
36,86,71,6736,33209,26473,Immediate
3,99,79,24087,70907,46820,Immediate
15,18,29,14698,67123,52425,Immediate
43,15,65,15015,64824,49809,High
55,78,103,23763,44620,20857,High
21,99,110,16580,44820,28240,Immediate
15,85,64,16343,61209,44866,Immediate
78,57,46,15211,84196,68985,Medium
62,75,60,13048,112508,99460,High
80,54,115,15984,110961,94977,Medium
91,70,73,9997,47286,37289,High
11,70,46,10758,44195,33437,Immediate
1,71,109,20349,51697,31348,Immediate
32,5,116,5521,54814,49293,High
36,13,37,19102,32506,13404,High
12,39,107,18195,74204,56009,Immediate
17,56,83,15575,78780,63205,Immediate
65,76,87,8400,58043,49643,High
57,74,33,23673,119846,96173,High
80,33,102,17974,42011,24037,Low
68,47,40,13380,95533,82153,Medium
30,38,63,24590,100429,75839,High
60,11,78,14025,110451,96426,Medium
27,81,80,6763,103879,97116,Immediate
57,92,9,20768,32892,12124,Immediate
35,8,47,21676,76853,55177,High
56,31,102,14001,102654,88653,Medium
83,95,56,24270,107246,82976,Immediate
79,37,72,14218,80183,65965,Medium
57,97,78,7090,42035,34945,Immediate
47,31,77,13196,92056,78860,High
56,57,91,3226,93625,90399,Medium
27,97,111,20408,54519,34111,Immediate
30,35,108,24664,96264,71600,High
81,22,60,24974,42871,17897,Low
29,88,45,11271,46086,34815,Immediate
44,77,81,19267,47535,28268,High
31,55,24,11503,88115,76612,High
67,53,34,4841,48743,43902,Medium
93,25,51,16139,49540,33401,Low
91,83,75,4913,16855,11942,High
36,40,52,23972,99845,75873,High
48,26,6,13057,32040,18983,Immediate
37,27,28,6700,94381,87681,High
65,60,46,5673,50563,44890,Medium
73,42,59,21446,81852,60406,Medium
36,70,20,16665,47306,30641,High
85,30,87,7035,26673,19638,Low
91,53,39,20296,67306,47010,Medium
47,34,32,8613,104163,95550,High
63,45,103,23600,36066,12466,Medium
93,16,42,14630,77906,63276,Low
69,16,81,12111,62999,50888,Medium
49,56,101,12404,56043,43639,High
38,54,96,17883,55567,37684,High
13,26,83,8278,40110,31832,Immediate
80,82,44,16871,99596,82725,High
3,80,72,14565,89007,74442,Immediate
33,10,31,17730,89207,71477,High
20,93,10,16721,98024,81303,Immediate
7,59,72,4910,102712,97802,Immediate
15,12,87,18051,32365,14314,Immediate
21,95,113,12023,38375,26352,Immediate
25,91,83,13346,48502,35156,Immediate
96,83,30,19108,31961,12853,High
60,80,108,9829,93756,83927,High
34,38,92,3306,49149,45843,High
79,76,84,22076,78978,56902,High
100,19,24,10331,97420,87089,Medium
53,33,83,22844,75684,52840,Medium
17,54,53,19455,36841,17386,Immediate
78,44,13,12487,102627,90140,High
19,65,99,20198,84972,64774,Immediate
18,44,37,18225,44918,26693,Immediate
5,13,4,21261,58639,37378,Immediate
54,99,34,3794,61160,57366,Immediate
2,46,97,15545,52577,37032,Immediate
59,78,24,23621,82442,58821,High
77,5,78,10248,24617,14369,Low
19,61,81,24711,115645,90934,Immediate
51,31,108,21376,38826,17450,Medium
51,96,63,19830,74358,54528,Immediate
48,99,81,20105,114188,94083,Immediate
22,97,72,6980,37866,30886,Immediate
56,61,54,6413,49675,43262,High
51,22,105,16986,59308,42322,Medium
33,32,46,12808,75690,62882,High
93,86,15,21040,51597,30557,Immediate
65,38,113,16329,84126,67797,Medium
58,31,21,12639,35977,23338,Medium
1,96,80,18142,94040,75898,Immediate
12,55,66,20869,36218,15349,Immediate
27,63,71,12399,81191,68792,Immediate
99,40,100,20387,53174,32787,Medium
56,29,88,9583,80669,71086,Medium
87,6,90,18797,34099,15302,Low
68,43,13,18123,41000,22877,High
31,59,50,5586,57689,52103,High
24,51,68,13534,66594,53060,Immediate
37,47,52,13967,105958,91991,High
27,84,16,10055,75897,65842,Immediate
16,72,99,16107,87511,71404,Immediate
81,11,83,19943,70668,50725,Low
48,51,79,16696,80777,64081,High
63,7,86,21456,87519,66063,Medium
72,72,77,13437,104426,90989,High
78,50,53,4550,93063,88513,Medium
70,74,104,21213,41436,20223,High
38,73,108,6856,76382,69526,High
38,67,35,18154,58909,40755,High
63,94,89,16672,110140,93468,Immediate
17,20,112,3064,81899,78835,Immediate
7,47,85,21612,114128,92516,Immediate
26,18,23,13866,27755,13889,Immediate
50,42,99,20779,56941,36162,Medium
68,40,72,5186,21153,15967,Medium
87,84,52,4942,62606,57664,High
37,46,72,18622,87823,69201,High
93,76,62,20878,113978,93100,High
37,100,84,13400,78262,64862,Immediate
22,2,101,23471,93638,70167,Immediate
85,28,2,17568,37034,19466,Immediate
49,64,108,13419,76367,62948,High
36,71,27,13414,46064,32650,High
98,5,60,18442,33302,14860,Low
17,64,25,24894,109049,84155,Immediate
28,94,44,3106,83396,80290,Immediate
5,24,31,9408,59811,50403,Immediate
73,36,27,18372,45651,27279,Medium
65,84,97,15055,63242,48187,High
97,59,9,5433,91967,86534,High
55,29,22,9858,94344,84486,Medium
80,99,13,14078,85533,71455,Immediate
96,44,65,17690,85736,68046,Medium
100,89,12,22901,43746,20845,Immediate
91,90,42,16138,85470,69332,Immediate
57,4,105,24146,117117,92971,Medium
25,90,116,24908,120412,95504,Immediate
91,57,79,13934,99735,85801,Medium
83,24,77,4351,70483,66132,Low
5,22,116,22030,48680,26650,Immediate
30,5,11,4022,38353,34331,High
65,52,99,16558,109537,92979,Medium
16,27,92,3405,56002,52597,Immediate
6,14,96,11983,108961,96978,Immediate
29,69,66,12522,67928,55406,Immediate
12,89,108,17219,28836,11617,Immediate
8,84,48,9704,75439,65735,Immediate
39,23,98,5613,52273,46660,High
48,77,78,7431,41927,34496,High
59,89,90,11384,35111,23727,Immediate
78,20,18,21909,81888,59979,High
12,23,30,24330,42632,18302,Immediate
24,49,14,16445,39320,22875,Immediate
83,86,30,12501,102282,89781,Immediate
57,93,41,12821,101476,88655,Immediate
97,15,88,8465,43112,34647,Low
13,30,66,20263,105207,84944,Immediate
54,83,78,22623,77063,54440,High
24,2,69,20509,113314,92805,Immediate
25,39,38,9565,107568,98003,Immediate
6,93,30,23599,101073,77474,Immediate
34,32,33,6465,16905,10440,High
27,77,100,8413,30076,21663,Immediate
20,91,97,3005,20043,17038,Immediate
14,2,43,5606,32088,26482,Immediate
13,65,29,23875,46932,23057,Immediate
16,34,10,5792,62404,56612,Immediate
14,34,112,5685,97433,91748,Immediate
84,59,44,11159,111005,99846,Medium
4,72,117,8521,95469,86948,Immediate
71,97,74,6890,34065,27175,Immediate
23,95,97,16861,74661,57800,Immediate
58,33,75,6793,76207,69414,Medium
85,42,82,19040,98846,79806,Medium
19,76,109,20600,32891,12291,Immediate
67,23,100,16347,57623,41276,Medium
1,27,26,8142,106924,98782,Immediate
35,90,6,15194,98256,83062,Immediate
37,34,100,16513,89326,72813,High
52,37,93,7595,32997,25402,Medium
3,4,68,12955,74277,61322,Immediate
44,79,25,22405,90527,68122,High
28,33,86,6447,69590,63143,Immediate
58,38,26,7899,46481,38582,Medium
60,15,102,12274,98145,85871,Medium
5,97,56,8255,102060,93805,Immediate
26,70,27,13712,105239,91527,Immediate
45,40,79,24649,65455,40806,High
50,38,89,14529,40474,25945,Medium
97,76,54,22868,110281,87413,High
40,8,63,20316,83705,63389,High
100,72,72,6238,59413,53175,High
53,2,55,19375,55085,35710,Medium
32,95,71,11722,109051,97329,Immediate
77,49,47,3301,98988,95687,Medium
56,82,51,8429,67063,58634,High
89,80,118,5203,67189,61986,High
26,47,116,24240,110162,85922,Immediate
96,50,7,13230,57704,44474,High
68,93,113,6959,64248,57289,Immediate
7,41,76,15841,48381,32540,Immediate
25,17,42,15787,97835,82048,Immediate
83,15,101,22930,80880,57950,Low
97,44,22,23758,34840,11082,Medium
61,67,115,17133,110645,93512,High
22,59,73,5775,31603,25828,Immediate
54,79,63,21615,69501,47886,High
54,24,26,15464,78262,62798,Medium
44,72,79,22622,46158,23536,High
64,68,56,13248,68539,55291,High
69,27,45,20177,49660,29483,Medium
39,14,6,3026,73637,70611,Immediate
74,84,64,22485,74567,52082,High
2,61,12,18389,56074,37685,Immediate
84,59,38,16671,97981,81310,Medium
17,51,29,10279,83186,72907,Immediate
20,16,105,10666,56651,45985,Immediate
56,36,60,8285,81400,73115,Medium
74,83,73,5432,103809,98377,High
2,62,21,21454,82122,60668,Immediate
54,18,62,18958,81400,62442,Medium
90,38,100,12675,112265,99590,Medium
26,45,34,20184,78147,57963,Immediate
94,95,50,8267,70914,62647,Immediate
98,94,58,15069,26050,10981,Immediate
44,40,9,14656,108702,94046,High
76,21,16,21975,41640,19665,High
89,13,38,13375,53859,40484,Medium
55,45,43,21039,81946,60907,Medium
45,47,70,9227,73017,63790,High
32,43,71,21951,47184,25233,High
16,51,45,13532,112533,99001,Immediate
43,80,117,24346,44965,20619,High
93,5,68,12634,70962,58328,Low
5,12,59,14995,45760,30765,Immediate
99,1,58,23003,55447,32444,Low
8,64,77,15849,64711,48862,Immediate
31,97,43,21300,40866,19566,Immediate
77,53,47,9413,76676,67263,Medium
54,28,47,22474,115764,93290,Medium
8,100,37,21227,78702,57475,Immediate
63,17,89,8538,40237,31699,Medium
77,38,90,11455,43166,31711,Medium
83,14,7,4529,41014,36485,High
63,11,82,24815,86445,61630,Medium
78,100,16,8828,78091,69263,Immediate
91,53,27,8406,95374,86968,Medium
35,46,43,6392,78649,72257,High
92,0,72,17479,52944,35465,Low
27,85,82,11981,43013,31032,Immediate
75,18,89,18172,111110,92938,Low
33,38,74,24230,52910,28680,High
6,100,111,15979,33846,17867,Immediate
51,78,106,6097,83037,76940,High
89,89,10,21448,121159,99711,Immediate
76,26,73,4711,40512,35801,Low
8,85,23,9086,74621,65535,Immediate
72,26,88,19220,42612,23392,Low
83,70,43,5822,33056,27234,High
62,83,44,12669,44453,31784,High
58,12,103,11167,96260,85093,Medium
80,85,98,11967,61503,49536,High
44,17,88,5303,63234,57931,High
59,1,66,12519,55531,43012,Medium
55,11,96,5779,99545,93766,Medium
27,88,4,19857,43555,23698,Immediate
0,16,71,16117,82498,66381,Immediate
68,18,103,17701,115479,97778,Medium
48,79,104,23465,55967,32502,High
90,49,89,16721,110254,93533,Medium
13,77,25,17051,94361,77310,Immediate
78,31,82,20229,57614,37385,Low
64,60,20,6145,23947,17802,Medium
87,33,61,11155,22077,10922,Low
39,64,33,22014,105366,83352,High
15,4,98,8930,96099,87169,Immediate
88,56,51,16207,111849,95642,Medium
51,16,37,5060,100014,94954,Medium
83,96,106,11031,22830,11799,Immediate
55,92,104,10365,100536,90171,Immediate
59,40,21,5808,94399,88591,Medium
85,41,74,14209,110688,96479,Medium
64,16,30,20177,46997,26820,Medium
18,52,85,16584,86847,70263,Immediate
84,52,105,12319,38894,26575,Medium
44,48,19,20787,81929,61142,High
80,64,37,14640,51077,36437,High
25,1,59,10903,104607,93704,Immediate
4,36,31,14467,82421,67954,Immediate
93,47,6,7238,102418,95180,Immediate
15,19,77,22755,92572,69817,Immediate
45,94,34,10810,64850,54040,Immediate
74,74,25,21901,119626,97725,High
72,83,59,12236,94833,82597,High
28,62,73,4596,34692,30096,Immediate
64,61,54,8734,34409,25675,High
45,4,113,15693,114742,99049,High
52,69,32,10407,88485,78078,High
38,97,31,10410,99593,89183,Immediate
37,66,66,13547,98943,85396,High
10,24,35,9818,99455,89637,Immediate
36,85,55,13954,110577,96623,High
98,94,109,21548,71427,49879,Immediate
63,19,106,9113,87212,78099,Medium
17,50,68,5696,69535,63839,Immediate
25,24,68,19442,93230,73788,Immediate
40,37,117,13002,34392,21390,High
20,14,3,22236,38877,16641,Immediate
45,15,14,18624,38590,19966,High
6,13,6,19819,47042,27223,Immediate
33,0,96,21034,118782,97748,High
93,85,20,6889,50983,44094,High
13,30,50,16500,43272,26772,Immediate
74,4,64,5820,96828,91008,Low
95,35,79,4301,72318,68017,Low
55,16,76,7112,74145,67033,Medium
91,81,115,11620,54355,42735,High
77,55,80,5105,36816,31711,Medium
80,6,76,21953,42021,20068,Low
2,82,109,4067,64725,60658,Immediate
69,13,4,9642,100555,90913,Immediate
92,98,52,23773,91068,67295,Immediate
19,87,99,3171,25989,22818,Immediate
67,96,66,13380,26957,13577,Immediate
60,29,98,22101,91415,69314,Medium
87,47,108,10200,76880,66680,Medium
73,81,19,24574,63136,38562,High
87,78,41,9953,72135,62182,High
51,3,102,8891,54735,45844,Medium
40,86,104,15644,111478,95834,Immediate
54,74,13,7039,51111,44072,High
81,43,108,20745,70178,49433,Medium
70,49,44,6599,43892,37293,Medium
29,81,31,19107,32162,13055,Immediate
76,19,49,9513,24155,14642,Low
22,96,102,7466,43510,36044,Immediate
83,54,67,18879,54606,35727,Medium
31,92,7,20665,58141,37476,Immediate
5,91,112,22561,102608,80047,Immediate
44,41,53,5413,49725,44312,High
74,86,114,7784,72697,64913,Immediate
66,10,50,8626,55908,47282,Medium
14,74,31,22389,36896,14507,Immediate
95,24,84,6992,90555,83563,Low
0,58,69,18305,80434,62129,Immediate
99,65,18,22276,121639,99363,High
65,74,62,21909,95876,73967,High
31,57,50,16989,64392,47403,High
73,85,119,3533,34479,30946,High
80,87,36,7087,58808,51721,Immediate
51,35,28,8539,91568,83029,Medium
8,20,64,7939,87119,79180,Immediate
93,94,40,3183,22658,19475,Immediate
30,26,58,14332,72273,57941,High
4,90,8,20166,80825,60659,Immediate
6,95,72,16294,82984,66690,Immediate
14,36,83,7090,62356,55266,Immediate
56,91,81,15777,88643,72866,Immediate
62,30,75,11526,111135,99609,Medium
86,66,62,3386,71899,68513,High
24,19,58,18708,100565,81857,Immediate
78,9,21,16565,49592,33027,Medium
28,95,10,13252,80130,66878,Immediate
22,49,87,9787,73406,63619,Immediate
66,84,53,23291,37579,14288,High
78,56,97,19581,37395,17814,Medium
18,43,63,4600,71214,66614,Immediate
82,25,44,22467,52840,30373,Low
76,91,14,17109,107492,90383,Immediate
43,83,108,9106,91975,82869,High
58,41,52,9655,105775,96120,Medium
